"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"677","RT @dataiku: Career in #DataScience and #Analytics – Play to Your Strengths: https://t.co/XhJOIKlVIv | RT @KirkDBorne https://t.co/SeGBZ5OE…",FALSE,0,NA,2017-01-18 16:09:01,FALSE,NA,"821751256754622467",NA,"<a href=""http://test.azurewebsites.net"" rel=""nofollow"">Twitter Assistant Bot 2</a>","mannitan",14,TRUE,FALSE,NA,NA
"678","Igneous DEEPR, a new animal @CDP_FST - https://t.co/uK9ZGZ9uUi - @IgneousIO #S3 #BigData #Analytics  #Cloud #ITPT @ITPressTour",FALSE,0,NA,2017-01-18 16:09:01,FALSE,NA,"821751255148142593",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","coustautc",0,FALSE,FALSE,NA,NA
"679","Here are your Top 10 Data Challenges Solved Using Alteryx! https://t.co/LvnSoV2olb 

#Data #Analytics #Alteryx #BI https://t.co/VYqZjEEMUt",FALSE,0,NA,2017-01-18 16:08:59,FALSE,NA,"821751247032188929",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","USEReadyInc",0,FALSE,FALSE,NA,NA
"680","Art, WWII, Data - How Survivorship Bias Factors into the Digital Age https://t.co/q1sFA10V2q #marketing #data… https://t.co/2PoSZKIbkO",FALSE,1,NA,2017-01-18 16:08:57,TRUE,NA,"821751240329752576",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","walkwest",0,FALSE,FALSE,NA,NA
"681","RT @IBMHealthcare: IBM's #cognitive #analytics helps @BpGenetics deliver accurate results to patients undergoing genetic tests https://t.co…",FALSE,0,NA,2017-01-18 16:08:36,FALSE,NA,"821751153251811328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AFassnacht",9,TRUE,FALSE,NA,NA
"682","RT @dataiku: Career in #DataScience and #Analytics – Play to Your Strengths: https://t.co/XhJOIKlVIv | RT @KirkDBorne https://t.co/SeGBZ5OE…",FALSE,0,NA,2017-01-18 16:08:35,FALSE,NA,"821751148474486786",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oMarceloVentura",14,TRUE,FALSE,NA,NA
"683","Insurers use tracking tools to mine real-time #customer #data https://t.co/KU1ynt72kl @BDliveSA #Insurance #BigData #Analytics #Technology",FALSE,0,NA,2017-01-18 16:08:34,FALSE,NA,"821751144615727108",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","ClaimVantage",0,FALSE,FALSE,NA,NA
"684","RT @Campaigntrackly: UTM guide for newbies: #analytics #marketing https://t.co/cBGfwPa59z",FALSE,0,NA,2017-01-18 16:08:23,FALSE,NA,"821751094858706946",NA,"<a href=""https://www.testimonialrobot.com"" rel=""nofollow"">StartupTweets</a>","TestimonialR",2,TRUE,FALSE,NA,NA
"685","How to provide deep visibility into SAP's in-memory platform https://t.co/2OS6NPhBgY #HotTech17 #Analytics @SAP @SAPAnalytics #Innovation",FALSE,1,NA,2017-01-18 16:08:17,FALSE,NA,"821751071475429376",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","mobiusmedia",2,FALSE,FALSE,NA,NA
"686","RT @StratifydTweets: #BigData is coming in faster than researchers can process #Stratifyd analyzes data faster than other #analytics tool h…",FALSE,0,NA,2017-01-18 16:08:05,FALSE,NA,"821751023068966912",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","LaurenGrote1",8,TRUE,FALSE,NA,NA
"687","RT @Ronald_vanLoon: 34 Most Disruptive Technologies of the Next Decade | #Analytics #Business #RT https://t.co/a99D49cxtP https://t.co/fWcR…",FALSE,0,NA,2017-01-18 16:08:05,FALSE,NA,"821751020384559106",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PiersantiMark",17,TRUE,FALSE,NA,NA
"688","RT @Campaigntrackly: UTM guide for newbies: #analytics #marketing https://t.co/cBGfwPa59z",FALSE,0,NA,2017-01-18 16:08:02,FALSE,NA,"821751006845341697",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","automizy",2,TRUE,FALSE,NA,NA
"689","PMEA Big News out !! Reduces A/S By 47.06% and O/S By 68.26%

#analytics #prediction #Nasdaq #Merger  #millennials… https://t.co/IFpvrYjCIZ",FALSE,0,NA,2017-01-18 16:08:01,TRUE,NA,"821751003934556160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stock017",0,FALSE,FALSE,NA,NA
"690","RT @Ronald_vanLoon: 34 Most Disruptive Technologies of the Next Decade | #Analytics #Business #RT https://t.co/a99D49cxtP https://t.co/fWcR…",FALSE,0,NA,2017-01-18 16:07:52,FALSE,NA,"821750967867768832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","DanielaDruiani",17,TRUE,FALSE,NA,NA
"691","Marketing Analytics Social Media https://t.co/MeM8SwsdVV #Marketing #analytics",FALSE,0,NA,2017-01-18 16:07:36,FALSE,NA,"821750899987062785",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","marketweetings",0,FALSE,FALSE,NA,NA
"692","34 Most Disruptive Technologies of the Next Decade | #Analytics #Business #RT https://t.co/a99D49cxtP https://t.co/fWcRYLuUTN",FALSE,14,NA,2017-01-18 16:07:25,FALSE,NA,"821750852620783616",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible App</a>","Ronald_vanLoon",17,FALSE,FALSE,NA,NA
"693","#BigData is coming in faster than researchers can process #Stratifyd analyzes data faster than other #analytics too… https://t.co/yjAOAvIAwT",FALSE,0,NA,2017-01-18 16:07:12,TRUE,NA,"821750800275959808",NA,"<a href=""http://sendible.com"" rel=""nofollow"">Sendible App</a>","StratifydTweets",8,FALSE,FALSE,NA,NA
"694","RT @MBNjobs: Insight Analyst-Retention - Dublin https://t.co/gPuCUg3da4  #insightanalyst #analytics #SQL #Tableau #dublinjobs #jobs #data #…",FALSE,0,NA,2017-01-18 16:07:11,FALSE,NA,"821750794659758080",NA,"<a href=""https://www.alexloth.com"" rel=""nofollow"">Tableau Twitter Bot</a>","TableauBot",1,TRUE,FALSE,NA,NA
